x,poly4
-0.23328099803468655,-8.699009422792187
-0.23243432731844127,-7.398566871597382
-0.23158765660219602,-6.092173542787194
-0.23074098588595074,-4.779945909981876
-0.2298943151697055,-3.462000020795884
-0.2290476444534602,-2.1384514968368507
-0.22820097373721496,-0.8094155337063711
-0.22735430302096968,0.5249930990006675
-0.22650763230472443,1.8646600576955876
-0.22566096158847915,3.2094714247963054
-0.2248142908722339,4.559313708726705
-0.22396762015598864,5.914073843917635
-0.22312094943974337,7.273639190805994
-0.22227427872349811,8.637897535834966
-0.22142760800725284,10.006737091454568
-0.22058093729100758,11.380046496120855
-0.2197342665747623,12.757714814296264
-0.21888759585851705,14.139631536449926
-0.21804092514227177,15.525686579057087
-0.21719425442602652,16.915770284599397
-0.21634758370978124,18.30977342156517
-0.215500912993536,19.707587184448776
-0.2146542422772907,21.109103193751253
-0.21380757156104546,22.514213495979902
-0.2129609008448002,23.922810563648348
